"warehouse_code","location_id","owner","product_code","description","expiry_date","pallet_id","quantity_on_hand","age","balance_shelve_life_to_expire","product_group"
"TGIC",3305012,"KEG Asia Private Limited",67453671,"DOVE MEN+CARE SH DEFENSE 4X20.4OZ","9/28/2022","UINT0000002921",672,1095,242,"HPC"
"TGIC",3305021,"KEG Asia Private Limited",67910116,"OMO AUTO LAVENDER LQD UI 6X1936ML","2/18/2024","UINT0000017651",144,730,515,"HPC"
"TGIC",3305022,"KEG Asia Private Limited",67910116,"OMO AUTO LAVENDER LQD UI 6X1936ML","2/18/2024","UINT0000017650",240,720,346,"HPC"
"TGIC",3305031,"KEG Asia Private Limited",21069269,"DOVE INTSV NOURISHING CRM 24X250ML","5/10/2023","UINT0000003145",1920,1080,533,"HPC"
"TGIC",3305032,"KEG Asia Private Limited",21069269,"DOVE INTSV NOURISHING CRM 24X250ML","5/10/2023","UINT0000003144",1920,900,361,"HPC"
"TGIC",3305041,"KEG Asia Private Limited",21069269,"DOVE INTSV NOURISHING CRM 24X250ML","5/20/2023","UINT0000003664",840,720,185,"HPC"
"TGIC",3305041,"KEG Asia Private Limited",21069269,"DOVE INTSV NOURISHING CRM 24X250ML","5/20/2023","UINT0000003664",1080,720,185,"HPC"
"TGIC",3305042,"KEG Asia Private Limited",21069269,"DOVE INTSV NOURISHING CRM 24X250ML","5/20/2023","UINT0000003663",960,720,185,"HPC"
"TGIC",3305042,"KEG Asia Private Limited",21069269,"DOVE INTSV NOURISHING CRM 24X250ML","5/20/2023","UINT0000003663",960,720,185,"HPC"
"TGIC",3305051,"KEG Asia Private Limited",21068967,"DOVE BEAUTY CREAM PANTHER UA 24X150ML","6/22/2023","UINT0000006744",3072,1095,362,"HPC"
"TGIC",3305052,"KEG Asia Private Limited",21068967,"DOVE BEAUTY CREAM PANTHER UA 24X150ML","6/22/2023","UINT0000006743",3072,913,148,"HPC"
"TGIC",3305061,"KEG Asia Private Limited",68633553,"DOVE BAR SENSTV SKIN 18X15OZ","4/20/2024","UINT0000028490",1080,720,825,"HPC"
"TGIC",3305062,"KEG Asia Private Limited",68633553,"DOVE BAR SENSTV SKIN 18X15OZ","4/20/2024","UINT0000028489",1080,720,825,"HPC"
"TGIC",3305071,"KEG Asia Private Limited",21068967,"DOVE BEAUTY CREAM PANTHER UA 24X150ML","6/22/2023","UINT0000006746",3072,913,150,"HPC"
"TGIC",3305072,"KEG Asia Private Limited",21068967,"DOVE BEAUTY CREAM PANTHER UA 24X150ML","6/22/2023","UINT0000006745",3072,913,148,"HPC"
"TGIC",3305081,"KEG Asia Private Limited",68534472,"DOVE HW DEEP NOURISHING 24X250ML","9/11/2023","UINT0000028725",1584,1080,1038,"HPC"
